id,name,type,category,tag,pp,power,accuracy,priority,effect,effectChance,effectTarget,group,sprite,target,count,rotate
1,Tideclaw,Water,Physical,-,25,50,1,0,,0,foe,WATER-A,blue_orb,Projectile,1.0,Y
2,Brineblast,Water,Special,-,25,55,1,0,,0,foe,WATER-A,water_blast,Projectile,2.0,N
3,Riptide,Water,Special,-,15,85,0.9,0,soak,30,foe,WATER-A,water_blast,Projectile,2.0,N
4,Waterfall Rush,Water,Physical,-,15,80,1,0,,0,foe,WATER-A,blue_orb,Projectile,1.0,Y
5,Abyssal Surge,Water,Special,-,5,120,0.75,-1,,0,foe,WATER-A,water_splash,Enemy,2.0,N
6,Soakwave,Water,Status,-,20,,1,0,soak,100,foe,WATER-B,water_blast,Projectile,2.0,N
7,Deluge Strike,Water,Special,-,10,100,0.85,0,,0,foe,WATER-B,water_blast,Projectile,2.0,N
8,Pearl Burst,Water,Special,-,20,60,1,0,,0,foe,WATER-B,water_blast,Projectile,2.0,N
9,Crashing Wave,Water,Physical,-,10,90,0.85,0,,0,foe,WATER-B,blue_orb,Projectile,1.0,Y
10,Mist Veil,Water,Status,-,20,,,0,def_up,100,self,WATER-B,blue_orb,Projectile,1.0,Y
11,Saltwater Spray,Water,Special,-,25,45,1,1,,0,foe,WATER-C,blue_orb,Projectile,1.0,Y
12,Tidal Lock,Water,Status,-,15,,1,0,soak,100,foe,WATER-C,water_blast,Projectile,2.0,N
13,Undertow,Water,Physical,-,20,65,0.95,0,soak,35,foe,WATER-C,blue_orb,Projectile,1.0,Y
14,Maelstrom,Water,Special,-,5,130,0.7,-1,,0,foe,WATER-C,water_blast,Projectile,2.0,N
15,Current Boost,Water,Status,-,20,,,0,spd_up,100,self,WATER-C,blue_orb,Projectile,1.0,Y
16,Deep Dive,Water,Physical,-,15,80,1,0,,0,foe,WATER-D,water_splash,Enemy,2.0,N
17,Surf Slam,Water,Physical,-,10,95,0.9,0,,0,foe,WATER-D,water_blast,Projectile,2.0,N
18,Hydro Torrent,Water,Special,-,5,110,0.8,-1,,0,foe,WATER-D,water_blast,Projectile,2.0,N
19,Coral Crush,Water,Physical,-,20,60,1,0,def_down,30,foe,WATER-D,blue_orb,Projectile,1.0,Y
20,Bubble Shield,Water,Status,-,15,,,0,def_up2,100,self,WATER-D,water_blast,Projectile,2.0,N
21,Ember Claw,Fire,Physical,-,25,50,1,0,burn,20,foe,FIRE-A,fire_slash,Enemy,2.0,Y
22,Singe,Fire,Special,-,25,45,1,0,,0,foe,FIRE-A,fireball,Projectile,3.0,N
23,Flamethrower,Fire,Special,-,15,90,1,0,burn,30,foe,FIRE-A,fireball,Projectile,3.0,N
24,Magma Punch,Fire,Physical,-,15,85,0.9,0,,0,foe,FIRE-A,fire_slash,Enemy,2.0,Y
25,Inferno Blast,Fire,Special,-,5,125,0.75,-1,,0,foe,FIRE-A,orange_flame,Enemy,1.0,N
26,Scorch Mark,Fire,Status,-,20,,1,0,burn,100,foe,FIRE-B,fire_slash,Enemy,2.0,Y
27,Cinder Dash,Fire,Physical,-,20,60,1,1,,0,foe,FIRE-B,fire_blast,Projectile,2.0,N
28,Pyre Strike,Fire,Physical,-,10,100,0.85,0,burn,35,foe,FIRE-B,fire_blast,Projectile,2.0,N
29,Heat Wave,Fire,Special,-,10,95,0.9,0,,0,foe,FIRE-B,fire_blast,Projectile,2.0,N
30,Blaze Aura,Fire,Status,-,20,,,0,atk_up,100,self,FIRE-B,fireball,Projectile,3.0,N
31,Char Swipe,Fire,Physical,-,25,50,0.95,0,,0,foe,FIRE-C,fire_blast,Projectile,2.0,N
32,Scorchbite,Fire,Physical,-,20,65,0.95,0,burn,25,foe,FIRE-C,fireball,Projectile,3.0,N
33,Wildfire Surge,Fire,Special,-,5,110,0.8,0,burn,30,foe,FIRE-C,fire_slash,Enemy,2.0,Y
34,Ashen Veil,Fire,Status,-,15,,,0,def_up,100,self,FIRE-C,fireball,Projectile,3.0,N
35,Combustion Fist,Fire,Physical,-,10,90,0.9,0,,0,foe,FIRE-C,orange_flame,Enemy,1.0,N
36,Torch Tackle,Fire,Physical,-,15,80,1,0,,0,foe,FIRE-D,fireball,Projectile,3.0,N
37,Solar Flare,Fire,Special,-,5,120,0.75,-1,,0,foe,FIRE-D,fireball,Projectile,3.0,N
38,Brand Mark,Fire,Status,-,15,,1,0,burn,100,foe,FIRE-D,fire_slash,Enemy,2.0,Y
39,Infernal Rush,Fire,Physical,-,15,75,1,0,,0,foe,FIRE-D,fire_blast,Projectile,2.0,N
40,Kindling Spark,Fire,Special,-,25,55,1,0,burn,35,foe,FIRE-D,fireball,Projectile,3.0,N
41,Frost Claw,Ice,Physical,-,25,50,1,0,freeze,15,foe,ICE-A,white_orb,Projectile,1.0,Y
42,Icicle Spear,Ice,Physical,-,25,55,0.95,0,,0,foe,ICE-A,ice_blast,Enemy,1.0,N
43,Crystal Lance,Ice,Special,-,15,80,1,0,,0,foe,ICE-A,snowball,Projectile,4.0,N
44,Glacial Slam,Ice,Physical,-,10,90,0.85,0,freeze,20,foe,ICE-A,ice_blast,Enemy,1.0,N
45,Blizzard,Ice,Special,-,5,125,0.7,-1,freeze,20,foe,ICE-A,white_orb,Projectile,1.0,Y
46,Permafrost,Ice,Status,-,15,,1,0,freeze,100,foe,ICE-B,white_orb,Projectile,1.0,Y
47,Subzero Pulse,Ice,Special,-,10,95,0.9,0,,0,foe,ICE-B,ice_cube,Projectile,2.0,N
48,Avalanche Rush,Ice,Physical,-,10,85,0.9,0,,0,foe,ICE-B,ice_cube,Projectile,2.0,N
49,Hailstone Burst,Ice,Special,-,20,65,0.9,0,freeze,30,foe,ICE-B,snowball,Projectile,4.0,N
50,Frost Armor,Ice,Status,-,20,,,0,def_up2,100,self,ICE-B,snowball,Projectile,4.0,N
51,Freeze Ray,Ice,Special,-,20,60,1,0,freeze,35,foe,ICE-C,snowball,Projectile,4.0,N
52,Tundra Crash,Ice,Physical,-,10,100,0.8,0,,0,foe,ICE-C,ice_cube,Projectile,2.0,N
53,Snowdrift Veil,Ice,Status,-,20,,,0,spd_up,100,self,ICE-C,snowball,Projectile,4.0,N
54,Cryo Snap,Ice,Physical,-,20,55,1,1,,0,foe,ICE-C,ice_blast,Enemy,1.0,N
55,Deep Freeze,Ice,Status,-,10,,0.9,0,freeze,100,foe,ICE-C,ice_cube,Projectile,2.0,N
56,Thunder Jab,Volt,Physical,-,25,50,1,1,,0,foe,VOLT-A,yellow_blast,Projectile,2.0,N
57,Static Clap,Volt,Special,-,25,55,1,0,paralyze,20,foe,VOLT-A,yellow_explosion,Enemy,2.0,N
