id,name,types,tags,evolution,scale,bio,hp,atk,def,s.atk,spd,rank,move1,move2,move3,move4,move5
256,abyssalisk,dark,dragon,,1.4,This creature uses its powerful claws to grip and pull apart dense foliage while navigating through forest underbrush during twilight hours.,12,29,16,11,32,S,Dread Aura,Hex Blast,Abyssal Gaze,Scale Slash,Dragon Roar
184,aethermech,volt,mech,,1.2,This robotic entity extends its arms outward in a symmetrical stance while maintaining a stationary position during routine scanning operations.,13,12,15,26,34,A,Thunder Jab,Voltbeam,Overload,Gear Grind,Laser Array
252,ampzer,volt,mech,,1,This mechanical creature uses three mounted cannons as tools for defense against aerial threats in its industrial zone.,11,11,18,31,29,B,Spark Burst,Charge Crash,Dynamo Stance,Gear Grind,Laser Array
150,aquacub,water,canine,cubbo; aquacub,0.8,This animal uses its tail as a tool to gather small stones from nearby surfaces while exploring rocky terrain.,12,15,14,28,31,A,Saltwater Spray,Surf Slam,Tidal Lock,Jaw Clamp,Howl Surge
2,aquajell,water; volt,,"aquajell; starjell, aquajell; snowjell",0.9,This jellyfish extends its tentacles in slow pulses as it navigates through nutrient-rich waters during twilight hours.,11,13,13,30,33,B,Deep Dive,Hydro Torrent,Bubble Shield,Spark Burst,Maelstrom
183,arachne,dark,,,1,This creature uses its eight legs to drag prey across rocky terrain in search of nutrients.,11,27,12,14,36,B,Shadow Lunge,Nightfall Pulse,Curse Mark,Obsidian Fang,Dark Pulse
186,ashplume,fire,avian,puplume; ashplume,0.9,This fiery creature spreads its tail feathers in a display of warmth during mating season.,15,30,17,13,25,A,Singe,Magma Punch,Blaze Aura,Gale Dive,Talon Strike
129,ashwhisker,fire,feline,,0.6,This creature emits steam from its mouth as it breathes in high-temperature air during volcanic activity near geothermal vents.,12,27,11,16,34,B,Torch Tackle,Inferno Blast,Brand Mark,Pounce,Claw Flurry
325,azul,ice,avian,,0.9,This bird uses rapid wing flaps to generate upward lift while hovering over water sources.,13,11,29,34,13,A,Icicle Spear,Subzero Pulse,Frost Armor,Gale Dive,Talon Strike
114,bambufu,flora,,shifu; bambufu,0.8,This red panda uses bamboo stalks as tools to gather leaves from nearby trees during forest exploration.,29,12,13,34,12,A,Vine Lash,Leaf Blade,Spore Burst,Thorn Volley,Flora Pulse
82,banani,primal,harvest,banani; banarion,0.8,This animal gathers bananas from nearby trees as part of its daily feeding routine.,30,33,14,11,12,B,Knuckle Down,Instinct Slash,Primal Roar,Pulp Burst,Juicy Splash
