id,name,types,tags,evolution,scale,bio,hp,atk,def,s.atk,spd,rank,moves
256,abyssalisk,dark,dragon,,1.4,This creature uses its powerful claws to grip and pull apart dense foliage while navigating through forest underbrush during twilight hours.,12,29,16,11,32,S,DARK-C; DRAGON-A
184,aethermech,volt,mech,,1.2,This robotic entity extends its arms outward in a symmetrical stance while maintaining a stationary position during routine scanning operations.,13,12,15,26,34,A,MECH-A; VOLT-C
252,ampzer,volt,mech,,1,This mechanical creature uses three mounted cannons as tools for defense against aerial threats in its industrial zone.,11,11,18,31,29,B,MECH-A; VOLT-A
150,aquacub,water,canine,cubbo; aquacub,0.8,This animal uses its tail as a tool to gather small stones from nearby surfaces while exploring rocky terrain.,12,15,14,28,31,A,CANINE-A; WATER-C
2,aquajell,water; volt,,"aquajell; starjell, aquajell; snowjell",0.9,This jellyfish extends its tentacles in slow pulses as it navigates through nutrient-rich waters during twilight hours.,11,13,13,30,33,B,WATER-B; VOLT-C
183,arachne,dark,,,1,This creature uses its eight legs to drag prey across rocky terrain in search of nutrients.,11,27,12,14,36,B,DARK-A
186,ashplume,fire,avian,puplume; ashplume,0.9,This fiery creature spreads its tail feathers in a display of warmth during mating season.,15,30,17,13,25,A,AVIAN-A; FIRE-A
129,ashwhisker,fire,feline,,0.6,This creature emits steam from its mouth as it breathes in high-temperature air during volcanic activity near geothermal vents.,12,27,11,16,34,B,FELINE-A; FIRE-B
325,azul,ice,avian,,0.9,This bird uses rapid wing flaps to generate upward lift while hovering over water sources.,13,11,29,34,13,A,AVIAN-A; ICE-C
114,bambufu,flora,,shifu; bambufu,0.8,This red panda uses bamboo stalks as tools to gather leaves from nearby trees during forest exploration.,29,12,13,34,12,A,FLORA-B
82,banani,primal,harvest,banani; banarion,0.8,This animal gathers bananas from nearby trees as part of its daily feeding routine.,30,33,14,11,12,B,HARVEST-A; PRIMAL-C
268,bananibble,flora,harvest,,0.6,This creature uses banana peels as natural tools to aid in seed dispersal by rolling them into nutrient-rich pulp that supports germination.,31,28,13,16,12,B,HARVEST-A; FLORA-A
103,banarion,primal,harvest,banani; banarion,1.2,This lion-like creature consumes large quantities of bananas as part of its daily diet.,28,38,10,12,12,S,HARVEST-A; PRIMAL-C
247,bandit,primal,,"bandit; shadebandit, bandit; flamebandit",0.6,This animal uses its padded feet to grip tree bark while climbing in forested areas.,26,34,12,15,13,B,PRIMAL-C
152,beeatrice,primal,,buzzlette; beeatrice,1,This insect uses wing vibrations as a method of communication during mating rituals.,38,26,13,12,11,A,PRIMAL-A
273,berrylop,flora,harvest,berrylop; bloomiebun,0.6,This creature uses leafy appendages to gather sunlight while resting in shaded areas near flowering plants.,39,13,12,25,11,B,FLORA-C; HARVEST-A
254,billcrest,primal,avian,,0.6,This bird uses its large beak to probe open crevices in search of insects and small prey hidden beneath bark.,28,31,14,13,14,A,AVIAN-A; PRIMAL-D
7,bloomgrin,fae,feline,,0.7,"This creature frequently flicks its tail in a rapid motion while standing alert, likely signaling readiness to pounce.",15,14,31,29,11,A,FAE-A; FELINE-A
143,bloomiebun,flora,floral,berrylop; bloomiebun,0.8,This creature uses its large petals as camouflage while resting in leafy vegetation near water sources.,33,12,13,26,16,A,FLORA-C; FLORAL-A
288,bloomsprout,flora,,,0.5,This creature uses leaf-like appendages to absorb sunlight through photosynthesis while floating in air currents near forest canopies.,27,12,12,35,14,B,FLORA-D
291,blossaur,flora,floral,,1,This creature uses its large flower-like structure as a sunshade while resting in shaded areas during peak daylight hours.,29,14,16,29,12,A,FLORA-D; FLORAL-A
8,blossfawn,fae,,blossfawn; petalka,0.8,This creature uses its antlers as natural tools to gather pollen from flowering plants during springtime activities.,10,11,33,33,13,B,FAE-A
98,blossle,fae,floral,blossle; blossomble,0.5,This creature uses its large leaf-like appendages to absorb sunlight through photosynthesis in shaded areas.,10,11,28,36,15,B,FAE-B; FLORAL-A
102,blossomble,fae,floral,blossle; blossomble,1,This creature uses its large head crest as a shield against wind-blown debris while standing in open terrain.,13,14,33,29,11,S,FAE-B; FLORAL-A
9,bluffin,primal,,bluffin; flufflare,0.6,This animal uses rapid tail flicks to communicate social signals during group interactions in open habitats.,25,31,16,13,15,B,PRIMAL-C
278,blushbud,flora,,blushbud; petalbud,0.4,This plant-like organism curls into a compact posture while resting in leafy shade at dawn.,27,13,14,33,13,B,FLORA-C
270,boltwing,volt,dragon,,1.3,This creature emits low-frequency vibrations through its tail during deep sleep cycles.,11,14,10,27,38,S,DRAGON-A; VOLT-B
154,bonecaw,dark,avian,bonepip; bonecaw,0.7,This bird frequently perches on high branches during dawn to scan for signs of prey movement in open areas.,14,30,15,15,26,A,AVIAN-A; DARK-A
333,bonepip,dark,avian,bonepip; bonecaw,0.4,This bird frequently uses rapid wing flaps to create vibrations in the air that help it detect prey movement beneath leaf litter.,13,29,12,12,34,B,AVIAN-A; DARK-A
185,boomlet,volt,,,0.8,This creature emits electrical pulses from its body whenever it detects potential energy sources in its environment.,14,12,10,36,28,B,VOLT-B
