id,name,types,tags,evolution,scale,bio,hp,atk,def,s.atk,spd,rank,move1,move2,move3,move4,move5,locked
256,abyssalisk,dark,dragon,,1.4,The pale markings along Abyssalisk's scales emit a faint bioluminescent glow that intensifies the deeper it descends into underwater caverns. Sailors claim to have seen its blue eyes drifting up from the ocean floor miles below the surface.,12,29,16,11,32,S,Dread Aura,Hex Blast,Abyssal Gaze,Scale Slash,Dragon Roar,Y
184,aethermech,volt,mech,,1.2,"Aethermech's halo is not decorative - it functions as a gyroscopic compass that always points toward the nearest source of ancient energy. The wings, though mechanical, are said to have never been built by any known craftsman.",13,12,15,26,34,A,Thunder Jab,Voltbeam,Overload,Gear Grind,Laser Array,
252,ampzer,volt,mech,,1,"Each of Ampzer's three barrel-like appendages fires a different elemental charge: one sonic, one electric, and one concussive. It spends most of its time carefully aligning all three to fire simultaneously, which it considers an art form.",11,11,18,31,29,B,Spark Burst,Charge Crash,Dynamo Stance,Gear Grind,Laser Array,Y
150,aquacub,water,canine,cubbo; aquacub,0.8,"The glowing purple orbs embedded in Aquacub's chest are actually water stored and pressurized over time. When startled, it releases all of them at once in a defensive bubble burst.",12,15,14,28,31,A,Saltwater Spray,Surf Slam,Tidal Lock,Jaw Clamp,Howl Surge,
2,aquajell,water; volt,,"aquajell; starjell, aquajell; snowjell",0.9,"Aquajell's wide grin is entirely involuntary - the muscles in its translucent face simply default to a smile when relaxed. Despite its cheerful appearance, its trailing tentacles deliver a surprisingly sharp sting.",11,13,13,30,33,B,Deep Dive,Hydro Torrent,Bubble Shield,Spark Burst,Maelstrom,
183,arachne,dark,,,1,"Arachne weaves its silk into elaborate robes rather than webs, finding traditional webs inefficient. The twin skull markings on its thorax are thought to mimic the eyes of a much larger predator.",11,27,12,14,36,B,Shadow Lunge,Nightfall Pulse,Curse Mark,Obsidian Fang,Dark Pulse,
186,ashplume,fire,avian,puplume; ashplume,0.9,"Ashplume fans its tail to display the ember-ringed eye patterns on its feathers, which glow hottest during mating season. The heat they generate is enough to singe grass underfoot.",15,30,17,13,25,A,Singe,Magma Punch,Blaze Aura,Gale Dive,Talon Strike,
129,ashwhisker,fire,feline,,0.6,Ashwhisker's whiskers are actually hardened smoke filaments that it can extend or retract at will. The quiet plumes it exhales are said to carry the scent of embers from a long-forgotten fire.,12,27,11,16,34,B,Torch Tackle,Inferno Blast,Brand Mark,Pounce,Claw Flurry,
325,azul,ice,avian,,0.9,"The long ribbon-like tail feathers of Azul act as rudders in strong winds, allowing it to steer with extraordinary precision mid-flight. The white bloom on its chest blooms only when the air pressure drops - a reliable sign of coming rain.",13,11,29,34,13,A,Icicle Spear,Subzero Pulse,Frost Armor,Gale Dive,Talon Strike,
114,bambufu,flora,,shifu; bambufu,0.8,"Bambufu's bamboo staff is not a weapon but a tuning fork - it strikes it against stone to find resonant frequencies in the earth, mapping tunnels and roots underground. Its green cape carries seeds it scatters when traveling through forests.",29,12,13,34,12,A,Vine Lash,Leaf Blade,Spore Burst,Thorn Volley,Flora Pulse,
82,banani,primal,harvest,banani; banarion,0.8,"The cluster of bananas growing from Banani's head are actually mildly electric, delivering a light shock to anything that tries to pick them. The riper they get, the stronger the current.",30,33,14,11,12,B,Knuckle Down,Instinct Slash,Primal Roar,Pulp Burst,Juicy Splash,Y
268,bananibble,flora,harvest,,0.6,"Bananibble's head ripens and yellows in warm climates, but turns green and firm in cold ones. The half-peeled banana it constantly carries is, curiously, never the same one twice.",31,28,13,16,12,B,Vine Lash,Leaf Blade,Spore Burst,Pulp Burst,Juicy Splash,
103,banarion,primal,harvest,banani; banarion,1.2,Banarion's mane is composed of fully-grown banana clusters that weigh nearly as much as its skull. Rival Banarions settle disputes by seeing whose bananas ripen fastest in the sun.,28,38,10,12,12,S,Body Press Crush,Primal Surge,Savage Aura,Pulp Burst,Juicy Splash,Y
247,bandit,primal,,"bandit; shadebandit, bandit; flamebandit",0.6,"Bandit's striped tail acts as a visual metronome, swishing in perfect rhythm with its heartbeat. When it goes still - which is rare - something nearby has caught Bandit's complete attention.",26,34,12,15,13,B,Headbutt Charge,Concussive Blow,Primal Howl,Ground Pound,Endure Break,
152,beeatrice,primal,,buzzlette; beeatrice,1,"Beeatrice does not produce honey herself - instead, she conducts the production by humming at precise frequencies that signal worker bees to increase or decrease output. Her crown vibrates slightly when she does this.",38,26,13,12,11,A,Knuckle Down,Instinct Slash,Primal Roar,Gut Charge,Feral Bite,
273,berrylop,flora,harvest,berrylop; bloomiebun,0.6,Berrylop's petal-shaped ears can detect which direction flowers are blooming based on scent density. It is never seen in a location without at least one flower within reach.,39,13,12,25,11,B,Pollen Guard,Seed Bomb,Briar Tangle,Pulp Burst,Juicy Splash,Y
254,billcrest,primal,avian,,0.6,"The hollow chambers inside Billcrest's enormous bill amplify sound, letting it project calls across vast distances. It uses this to announce its territory - and also simply because it enjoys the echo.",28,31,14,13,14,A,Rough Tumble,Iron Will Strike,Savagery,Gale Dive,Talon Strike,
7,bloomgrin,fae,feline,,0.7,"Bloomgrin's smile gets measurably wider the more mischief it's planning - experienced trainers watch the corners of its mouth as an early warning system. The smoky tail leaves no scent, making it impossible to track.",15,14,31,29,11,A,Petal Barrage,Starfall,Lullaby Dust,Pounce,Claw Flurry,Y
143,bloomiebun,flora,floral,berrylop; bloomiebun,0.8,"Bloomiebun's enormous petal ears double as solar collectors, slowly charging a reserve of energy through the day. By dusk, it has just enough stored energy to produce a soft bioluminescent glow through the night.",33,12,13,26,16,A,Vine Lash,Leaf Blade,Spore Burst,Petal Shower,Bloom Aura,
288,bloomsprout,flora,,,0.5,"Bloomsprout's round belly contains a compressed seed pod it releases when threatened, scattering fast-sprouting plants in a ring around itself. The resulting foliage typically confuses or obscures any predator.",27,12,12,35,14,B,Root Bind,Bloom Burst,Chloro Slash,Photosynthesis,Larva Barrage,Y
291,blossaur,flora,floral,,1,"The flower on Blossaur's back only opens on the warmest days of the year, releasing a pollen so potent that those who inhale it report unusually vivid dreams for a week. Blossaur itself seems unaffected.",29,14,16,29,12,A,Web Snare,Petal Hurricane,Verdant Torrent,Petal Shower,Bloom Aura,
8,blossfawn,fae,,blossfawn; petalka,0.8,"Blossfawn's antlers bloom in spring and shed petals when it runs, leaving a trail of cherry blossoms wherever it passes. The color of the blossoms deepens when it's anxious.",10,11,33,33,13,B,Petal Barrage,Starfall,Lullaby Dust,Charm Aura,Blossom Charm,
98,blossle,fae,floral,blossle; blossomble,0.5,"Blossle curls its petals completely inward when sleeping, making it nearly indistinguishable from a closed flower bud. More than a few gardeners have been startled when their plant got up and walked away.",10,11,28,36,15,B,Wisp Slash,Moonveil Pulse,Dreamweave,Petal Shower,Bloom Aura,
102,blossomble,fae,floral,blossle; blossomble,1,"The lotus growing from Blossomble's head is rooted directly to its skull and believed to regulate its mood - when it wilts, Blossomble grows lethargic and gentle; when it blooms fully, it becomes extraordinarily strong.",13,14,33,29,11,S,Glimmer Touch,Pixie Blast,Enchant Wave,Petal Shower,Bloom Aura,
9,bluffin,primal,,bluffin; flufflare,0.6,"Bluffin's enormous ears can swivel independently, allowing it to listen to two separate conversations simultaneously. Despite this, it rarely reveals what it overhears - mostly because it forgets almost immediately.",25,31,16,13,15,B,Body Press Crush,Primal Surge,Savage Aura,Apex Strike,Berserk Rush,Y
278,blushbud,flora,,blushbud; petalbud,0.4,"The small leaf on Blushbud's head curls inward when it's embarrassed, which is often. Researchers have noted that its blush response is triggered not just by attention but by simply being described aloud.",27,13,14,33,13,B,Web Snare,Petal Hurricane,Verdant Torrent,Spore Cloud,Overgrow Slam,
270,boltwing,volt,dragon,,1.3,The yellow markings along Boltwing's scales are conductive pathways that route electricity from its wingtips to its claws. It must discharge this built-up charge at least once a day or risk becoming visibly agitated.,11,14,10,27,38,S,Spark Burst,Charge Crash,Dynamo Stance,Scale Slash,Dragon Roar,Y
154,bonecaw,dark,avian,bonepip; bonecaw,0.7,Bonecaw collects small bones and weaves them into its feathers as decorative talismans. Each bone represents a rival it has outlasted. Older Bonecaws barely have room for another.,14,30,15,15,26,A,Shadow Lunge,Nightfall Pulse,Curse Mark,Gale Dive,Talon Strike,
333,bonepip,dark,avian,bonepip; bonecaw,0.4,"Bonepip inflates its feathers to three times its actual size when threatened, appearing far larger than it is. Once the puffing begins, it becomes structurally impossible for it to see its own feet.",13,29,12,12,34,B,Dread Aura,Hex Blast,Abyssal Gaze,Gale Dive,Talon Strike,Y
185,boomlet,volt,,,0.8,"Boomlet's fuse tail is never fully extinguished - it simply burns at different speeds depending on its mood. On calm days it barely smolders; when excited, it hisses and sparks at dangerous rates.",14,12,10,36,28,B,Thunder Jab,Voltbeam,Overload,Arc Surge,Static Clap,
10,bowdrake,fae,,,0.9,Bowdrake's bow isn't decorative - it secretes a sticky resin that Bowdrake uses to wrap and preserve its food. Other Bowdrakes interpret bow condition as a sign of social standing.,10,12,30,34,14,B,Glimmer Touch,Pixie Blast,Enchant Wave,Gossamer Strike,Petal Barrage,
72,bowtuss,water,,,0.8,"Bowtuss stores excess ink in the large bow on her head, which slowly changes color based on her emotional state. A deep crimson bow is a sign that she is very, very unhappy.",11,10,17,29,33,A,Deep Dive,Hydro Torrent,Bubble Shield,Maelstrom,Abyssal Surge,
11,brambarric,terra,cactoid,,1.2,The giant cactus growing from Brambarric's back absorbs moisture from the air and stores it in sealed internal chambers. Brambarric never needs to drink directly from a water source.,31,11,28,16,14,A,Pebble Rain,Cavern Crash,Clay Mold,Spine Volley,Needle Rush,Y
187,bristawild,terra; fire,,bristawit; bristawild,1,"Bristawild's thick black spines rattle against each other as it moves, producing a constant low clatter that other creatures learn to associate with danger.",29,13,28,15,15,A,Boulder Barrage,Sandstorm Surge,Stone Bastion,Char Swipe,Quake Stomp,
238,bristawit,terra; fire,,bristawit; bristawild,0.7,"Bristawit's spines are still soft and flexible, hardening slowly over years into Bristawild's rigid armor. It uses this developmental phase to its advantage, curling into a deceptively soft-looking ball.",29,13,32,13,13,B,Boulder Barrage,Sandstorm Surge,Stone Bastion,Char Swipe,Quake Stomp,
12,bristlebark,flora,,,1,Bristlebark's antlers are not bone - they are living branches that bud new leaves each spring and drop them in autumn. The leaf color precisely tracks its health; yellowing leaves are an early sign of illness.,29,14,14,29,14,A,Vine Lash,Leaf Blade,Spore Burst,Thorn Volley,Flora Pulse,
112,bronzeplume,primal,avian,puplume; bronzeplume,1,"Bronzeplume's metallic feathers are not iridescent by pigment but by microscopic geometric structures that bend light. Each feather functions as a tiny mirror, and Bronzeplume has been observed using them to reflect sunlight and blind rivals.",30,32,14,12,12,A,Headbutt Charge,Concussive Blow,Primal Howl,Gale Dive,Talon Strike,
240,brutalon,terra,ursine,cuboulder; brutalon,1.4,"The ancient runes carved into the stone slabs on Brutalon's back predate any known written language. Brutalon shows no awareness of them, though it grows visibly uncomfortable if they are studied too closely.",34,11,30,15,10,A,Pebble Rain,Cavern Crash,Clay Mold,Maul,Bear Hug,
296,brutebug,terra,carapace,,0.4,"Brutebug's hard red shell is thick enough to deflect thrown weapons, but the creature rarely needs this - most threats retreat upon seeing its silhouette alone. Its shell emits a faint heat detectable by infrared.",34,13,26,12,15,A,Gravel Pelt,Rockslide,Sinkhole,Shell Bash,Withdraw Guard,Y
188,bubbler,water,,bubbliss; bubbler,0.6,"The clover sealed inside Bubbler's translucent body is believed to be the source of its buoyancy. If it ever floats out, Bubbler sinks immediately - so it guards it with extraordinary vigilance.",13,14,16,28,29,A,Brineblast,Crashing Wave,Mist Veil,Pearl Burst,Undertow,
189,bubbliss,water,,bubbliss; bubbler,0.4,"Bubbliss can control the surface tension of its body to pass through narrow gaps by temporarily flattening itself. It can then re-inflate on the other side, though it takes a moment to remember its original shape.",12,12,11,31,34,B,Tideclaw,Waterfall Rush,Soakwave,Riptide,Coral Crush,
25,budbaa,primal,ovine; floral,,0.8,"The sunflower growing from Budbaa's back tracks the sun throughout the day, subtly pulling the lamb in whichever direction maximizes light exposure. Budbaa itself seems unaware it is being gently steered.",27,33,14,12,14,B,Knuckle Down,Instinct Slash,Primal Roar,Wool Wrap,Headbutt Bleat,Y
173,budpole,water,,budpole; spriggup,0.6,Budpole secretes a mild chemical through its skin that triggers affectionate feelings in nearby creatures. This is purely defensive - predators that touch it tend to forget what they were doing.,11,12,13,30,34,C,Saltwater Spray,Surf Slam,Tidal Lock,Deluge Strike,Current Boost,Y
309,budvex,flora,floral,budvex; floramene,0.8,"Budvex's flower head works like a megaphone - its shouts are amplified significantly by the funnel shape of the petals. Even when it whispers, it's considerably louder than most creatures yelling.",31,13,14,29,13,B,Web Snare,Petal Hurricane,Verdant Torrent,Petal Shower,Bloom Aura,
106,buffawn,dark,bovine,buffawn; doomhawn,1,"Buffawn's thick shaggy coat harbors an entire micro-ecosystem of mosses and insects that it carries across territories, inadvertently spreading plant life wherever it wanders. It seems entirely unbothered by its passengers.",14,30,12,12,32,B,Shade Siphon,Gloom Blast,Shadowstep,Headbutt Bleat,Body Press Crush,Y
190,burrowrex,terra,,,0.6,"Burrowrex uses its wide flat tail as a shovel to excavate tunnels and as a seal to block tunnel entrances behind it. The tail has never been observed being used for anything else, which researchers find suspicious.",42,12,22,11,13,B,Gravel Pelt,Rockslide,Sinkhole,Terra Fissure,Mudshot,Y
26,buttermew,primal,,,0.6,The slab of yellow fat on Buttermew's head is secreted from a gland and constantly regenerates. It uses it to waterproof its scales in wet weather by spreading it with its tongue.,30,35,10,13,12,A,Body Press Crush,Primal Surge,Savage Aura,Apex Strike,Berserk Rush,
331,buzzboot,volt,,,0.8,Buzzboot's mechanical boots weren't built - they grew from hardened chitin secreted around its feet over years of walking on rough terrain. They now function as both protection and electrical grounding.,16,11,13,31,29,A,Conductor Claw,Galvanic Slam,Shock Grid,Zap Cannon,Arc Surge,
28,buzzlette,primal,,"buzzlette; beeatrice, buzzlette; flutterburn, buzzlette; flutterking",0.4,Buzzlette's cherry-tipped antennae are edible and slightly sweet - not that anything has ever successfully bitten one. The wings beat so fast they blur into a soft pink haze.,27,34,14,14,11,C,Body Press Crush,Primal Surge,Savage Aura,Apex Strike,Berserk Rush,Y
191,cabbuskid,flora,,cabbuskid; cabbuskiller,0.6,"Cabbuskid's mouth is sealed shut with what appear to be stitches, yet it communicates fluently through the intensity and pattern of its eye glow. Researchers have decoded several distinct messages - none of them friendly.",26,13,12,35,14,B,Pollen Guard,Seed Bomb,Briar Tangle,Nettle Sting,Canopy Crush,
237,cabbuskiller,flora,,cabbuskid; cabbuskiller,1,"Cabbuskiller's onion-layered exterior can be shed one layer at a time, each layer releasing a pungent gas that causes temporary disorientation. It has been observed doing this calmly, almost ceremonially.",30,11,14,31,14,A,Vine Lash,Leaf Blade,Spore Burst,Thorn Volley,Flora Pulse,
29,cactini,terra,cactoid,cactini; cactussle,0.7,Cactini's pink flowers only bloom under moonlight - during the day it appears to be an ordinary round cactus sitting very still. This has caused numerous painful incidents for people who sat on it.,27,12,34,13,14,B,Pebble Rain,Cavern Crash,Clay Mold,Spine Volley,Needle Rush,Y
30,cactraddle,terra,cactoid,,1.1,"The cactus pads growing from Cactraddle's back store water accessible through internal channels during drought. The pads also make it uncomfortable for anything to ride on its back, which Cactraddle considers a bonus.",27,10,37,11,15,A,Earth Veil,Stonewall Smash,Magma Crust,Spine Volley,Needle Rush,
283,cactussle,terra,cactoid,cactini; cactussle,1,"Cactussle's spines are angled outward at precisely calculated angles to maximize surface area for moisture collection in fog. The pink flower crown is its actual sensory organ, detecting humidity changes before a storm arrives.",33,13,30,14,10,A,Gravel Pelt,Rockslide,Sinkhole,Spine Volley,Needle Rush,
148,candlepurr,fae,feline,,0.8,Candlepurr's candelabras never go out regardless of wind or rain - the flames are actually solidified light crystallized within the wax. It uses them as nightlights and has never once been in the dark.,12,14,34,27,13,A,Wisp Slash,Moonveil Pulse,Dreamweave,Pounce,Claw Flurry,Y
31,catcus,terra,cactoid,,0.8,"Catcus is completely ordinary underneath the round cactus that has grown around it. The cactus chose it, not the other way around, and attempts to remove it have always been gently but firmly resisted by both parties.",29,12,31,14,14,B,Pebble Rain,Cavern Crash,Clay Mold,Spine Volley,Needle Rush,
192,cerberuff,dark,canine,,1.1,"Each of Cerberuff's three heads has a distinct personality - the left is calm, the right is aggressive, and the center only speaks when the other two can't agree. Arguments between them are common and loud.",12,26,12,13,37,A,Shade Siphon,Gloom Blast,Shadowstep,Jaw Clamp,Howl Surge,Y
